flightNumber,date,passengers,maxCapacity
AA1234,2013-01-01,119,224
UA5678,2013-01-01,221,265
DL9012,2013-01-01,198,297
WN789,2013-01-01,142,223
AS4567,2013-01-01,185,224
AA1234,2013-01-02,229,284
UA5678,2013-01-02,195,210
DL9012,2013-01-02,149,287
WN789,2013-01-02,191,230
AS4567,2013-01-02,209,211
AA1234,2013-01-03,127,258
UA5678,2013-01-03,155,279
DL9012,2013-01-03,168,286
WN789,2013-01-03,249,280
AS4567,2013-01-03,217,266
AA1234,2013-01-04,248,265
UA5678,2013-01-04,158,252
DL9012,2013-01-04,128,291
WN789,2013-01-04,216,251
AS4567,2013-01-04,190,296
AA1234,2013-01-05,163,207
UA5678,2013-01-05,146,245
DL9012,2013-01-05,235,234
WN789,2013-01-05,247,292
AS4567,2013-01-05,228,256
AA1234,2013-01-06,133,285
UA5678,2013-01-06,135,228
DL9012,2013-01-06,182,279
WN789,2013-01-06,104,227
AS4567,2013-01-06,113,285
AA1234,2013-01-07,213,249
UA5678,2013-01-07,227,218
DL9012,2013-01-07,194,281
WN789,2013-01-07,134,270
AS4567,2013-01-07,191,275
AA1234,2013-01-08,137,267
UA5678,2013-01-08,173,286
DL9012,2013-01-08,248,235
WN789,2013-01-08,124,298
AS4567,2013-01-08,138,239
AA1234,2013-01-09,170,283
UA5678,2013-01-09,173,215
DL9012,2013-01-09,205,234
WN789,2013-01-09,227,228
AS4567,2013-01-09,201,235
AA1234,2013-01-10,236,275
UA5678,2013-01-10,116,268
DL9012,2013-01-10,116,272
WN789,2013-01-10,222,250
AS4567,2013-01-10,228,268
AA1234,2013-01-11,179,277
UA5678,2013-01-11,188,225
DL9012,2013-01-11,137,215
WN789,2013-01-11,228,233
AS4567,2013-01-11,174,262
AA1234,2013-01-12,137,260
UA5678,2013-01-12,176,228
DL9012,2013-01-12,245,280
WN789,2013-01-12,175,285
AS4567,2013-01-12,158,266
AA1234,2013-01-13,210,279
UA5678,2013-01-13,172,248
DL9012,2013-01-13,121,214
WN789,2013-01-13,232,206
AS4567,2013-01-13,212,212
AA1234,2013-01-14,216,281
UA5678,2013-01-14,136,256
DL9012,2013-01-14,120,254
WN789,2013-01-14,155,221
AS4567,2013-01-14,141,253
AA1234,2013-01-15,138,264
UA5678,2013-01-15,233,232
DL9012,2013-01-15,158,259
WN789,2013-01-15,188,228
AS4567,2013-01-15,230,273
AA1234,2013-01-16,225,283
UA5678,2013-01-16,118,237
DL9012,2013-01-16,197,253
WN789,2013-01-16,162,227
AS4567,2013-01-16,176,242
AA1234,2013-01-17,133,256
UA5678,2013-01-17,118,273
DL9012,2013-01-17,143,227
WN789,2013-01-17,203,239
AS4567,2013-01-17,154,249
AA1234,2013-01-18,160,230
UA5678,2013-01-18,216,201
DL9012,2013-01-18,159,265
WN789,2013-01-18,222,233
AS4567,2013-01-18,226,284
AA1234,2013-01-19,119,296
UA5678,2013-01-19,184,204
DL9012,2013-01-19,100,222
WN789,2013-01-19,235,202
AS4567,2013-01-19,137,213
AA1234,2013-01-20,169,223
UA5678,2013-01-20,152,289
DL9012,2013-01-20,210,295
WN789,2013-01-20,126,287
AS4567,2013-01-20,213,295
AA1234,2013-01-21,205,296
UA5678,2013-01-21,122,279
DL9012,2013-01-21,115,266
WN789,2013-01-21,147,295
AS4567,2013-01-21,187,219
AA1234,2013-01-22,199,218
UA5678,2013-01-22,212,259
